Year,Quits_Rates,Month,Unemployment_Rates
2025,2.0,12,4.4
2025,2.0,11,4.5
2025,1.9,10,
2025,1.9,9,4.4
2025,2.0,8,4.3
2025,2.0,7,4.3
2025,2.1,6,4.1
2025,2.1,5,4.3
2025,2.0,4,4.2
2025,2.2,3,4.2
2025,2.0,2,4.2
2025,2.0,1,4.0
2024,1.9,12,4.1
2024,1.9,11,4.2
2024,2.0,10,4.1
2024,2.0,9,4.1
2024,2.1,8,4.2
2024,2.1,7,4.2
2024,2.1,6,4.1
2024,2.1,5,3.9
2024,2.2,4,3.9
2024,2.1,3,3.9
2024,2.2,2,3.9
2024,2.1,1,3.7
2023,2.2,12,3.8
2023,2.3,11,3.7
2023,2.3,10,3.9
2023,2.3,9,3.7
2023,2.3,8,3.7
2023,2.3,7,3.5
2023,2.4,6,3.6
2023,2.6,5,3.6
2023,2.3,4,3.4
2023,2.4,3,3.5
2023,2.5,2,3.6
2023,2.5,1,3.5
