Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,salary_growth_rate,bonus_month_ratio,overtime_month_ratio,avg_bonus_pct,career_stagnation_index,promotion_velocity,role_stagnation_ratio,manager_stability_ratio,training_intensity,Cluster,Cluster_Name
41,Yes,Travel_Rarely,Sales,1,2,2,3,2,Sales Executive,4,Single,5993,8,11,1,0,0,1,6,0,0.0644735524778909,0.2916666666666667,0.8333333333333334,2.4569788607810668,0.6666666666666666,6.0,0.5714285714285714,0.7142857142857143,0.0,1,Overworked Juniors
49,No,Travel_Frequently,Research & Development,8,1,3,2,2,Research Scientist,2,Married,5130,1,23,4,1,3,3,10,1,0.121766081871345,0.3333333333333333,0.0833333333333333,6.714264749515736,5.0,5.0,0.6363636363636364,0.6363636363636364,0.2727272727272727,0,Disengaged Juniors
37,Yes,Travel_Rarely,Research & Development,2,2,4,2,1,Laboratory Technician,3,Single,2090,6,15,2,0,3,3,0,0,0.1394593301435405,0.25,0.6666666666666666,1.3589561485459816,0.0,0.0,0.0,0.0,3.0,1,Overworked Juniors
33,No,Travel_Frequently,Research & Development,3,4,4,3,1,Research Scientist,3,Married,2909,1,11,3,0,3,3,8,3,0.1794946717084909,0.25,0.625,1.7810826896740066,4.0,2.0,0.7777777777777778,0.0,0.3333333333333333,1,Overworked Juniors
27,No,Travel_Rarely,Research & Development,2,1,1,3,1,Laboratory Technician,2,Married,3468,9,12,4,1,3,3,2,2,0.0811274509803921,0.2916666666666667,0.125,1.6022361524832651,0.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0,Disengaged Juniors
32,No,Travel_Frequently,Research & Development,2,2,4,3,1,Laboratory Technician,4,Single,3068,0,13,3,0,2,2,7,3,0.0592112125162972,0.125,0.125,0.6866431505061599,7.0,1.75,0.875,0.75,0.25,0,Disengaged Juniors
59,No,Travel_Rarely,Research & Development,3,3,3,4,1,Laboratory Technician,1,Married,2670,4,20,1,3,3,2,1,0,0.0519176029962546,0.3333333333333333,0.75,3.722194226809576,0.2,1.0,0.0,0.0,1.5,1,Overworked Juniors
30,No,Travel_Rarely,Research & Development,24,1,4,3,1,Laboratory Technician,3,Divorced,2693,1,22,2,1,2,3,1,0,0.115369476420349,0.3333333333333333,0.0416666666666666,6.806074500766917,0.5,1.0,0.0,0.0,1.0,0,Disengaged Juniors
38,No,Travel_Frequently,Research & Development,23,3,4,2,3,Manufacturing Director,3,Single,9526,0,21,2,0,2,3,9,1,0.0512114213730842,0.3333333333333333,0.0833333333333333,5.842136595809298,9.0,4.5,0.7,0.8,0.2,3,High Potential Fast Trackers
36,No,Travel_Rarely,Research & Development,27,3,3,3,2,Healthcare Representative,3,Married,5237,6,13,2,2,3,2,7,7,0.1286270765705556,0.2916666666666667,0.1666666666666666,2.413743515859238,1.0,0.875,0.875,0.875,0.375,0,Disengaged Juniors
35,No,Travel_Rarely,Research & Development,16,3,1,4,1,Laboratory Technician,2,Married,2426,0,13,3,1,5,3,5,0,0.0959769167353669,0.2916666666666667,0.0,2.180261129138958,5.0,5.0,0.6666666666666666,0.5,0.8333333333333334,0,Disengaged Juniors
29,No,Travel_Rarely,Research & Development,15,2,4,2,2,Laboratory Technician,3,Single,4193,0,12,4,0,3,3,9,0,0.1333937514905794,0.2916666666666667,0.7083333333333334,1.859127146893576,9.0,9.0,0.5,0.8,0.3,3,High Potential Fast Trackers
31,No,Travel_Rarely,Research & Development,26,1,1,3,1,Research Scientist,3,Divorced,2911,1,17,4,1,1,2,5,4,0.1366952937135005,0.2916666666666667,0.0416666666666666,1.7308467329156672,2.5,1.0,0.3333333333333333,0.5,0.1666666666666666,0,Disengaged Juniors
34,No,Travel_Rarely,Research & Development,19,2,2,3,1,Laboratory Technician,4,Divorced,2661,0,11,3,1,2,3,2,1,0.1294663660278091,0.2916666666666667,0.0,2.5152022534842984,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,Disengaged Juniors
28,Yes,Travel_Rarely,Research & Development,24,3,3,2,1,Laboratory Technician,3,Single,2028,5,14,2,0,4,3,4,0,0.111706114398422,0.2916666666666667,0.7083333333333334,1.6192119906609483,0.6666666666666666,4.0,0.4,0.6,0.8,1,Overworked Juniors
29,No,Travel_Rarely,Research & Development,21,4,2,4,3,Manufacturing Director,1,Divorced,9980,1,11,3,1,1,3,10,8,0.1199689378757516,0.2916666666666667,0.0416666666666666,2.495633077514315,5.0,1.1111111111111112,0.8181818181818182,0.7272727272727273,0.0909090909090909,4,Stagnant Mid-Seniors
32,No,Travel_Rarely,Research & Development,5,2,1,4,1,Research Scientist,2,Divorced,3298,0,12,4,2,5,2,6,0,0.0791479684657368,0.2916666666666667,0.6666666666666666,1.2838176650472493,6.0,6.0,0.2857142857142857,0.7142857142857143,0.7142857142857143,1,Overworked Juniors
22,No,Non-Travel,Research & Development,16,2,4,4,1,Laboratory Technician,4,Divorced,2935,1,13,2,2,2,2,1,0,0.0657376490630323,0.1666666666666666,0.75,1.6726707041508784,0.5,1.0,0.0,0.0,1.0,1,Overworked Juniors
53,No,Travel_Rarely,Sales,2,4,1,2,4,Manager,4,Married,15427,2,16,3,0,3,3,25,3,0.092251896026447,0.2916666666666667,0.0,2.01880175804862,8.333333333333334,6.25,0.3076923076923077,0.2692307692307692,0.1153846153846153,2,Senior Stable
38,No,Travel_Rarely,Research & Development,2,3,4,3,1,Research Scientist,4,Single,3944,5,11,3,0,3,3,3,1,0.1397210953346857,0.25,0.7916666666666666,1.294524136914544,0.5,1.5,0.5,0.5,0.75,1,Overworked Juniors
24,No,Non-Travel,Research & Development,11,2,1,4,2,Manufacturing Director,3,Divorced,4011,0,18,4,1,5,2,4,1,0.1231687858389428,0.25,0.0833333333333333,1.462963967605612,4.0,2.0,0.4,0.6,1.0,0,Disengaged Juniors
36,Yes,Travel_Rarely,Sales,9,4,3,2,1,Sales Representative,1,Single,3407,7,23,2,0,4,3,5,0,0.1528617552098621,0.3333333333333333,0.0833333333333333,5.761916135135389,0.625,5.0,0.5,0.5,0.6666666666666666,0,Disengaged Juniors
34,No,Travel_Rarely,Research & Development,7,4,1,3,3,Research Director,2,Single,11994,0,11,3,0,4,3,12,2,0.1750483575120894,0.25,0.0833333333333333,2.1934745578954136,12.0,4.0,0.4615384615384615,0.8461538461538461,0.3076923076923077,3,High Potential Fast Trackers
