Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,salary_growth_rate,bonus_month_ratio,overtime_month_ratio,avg_bonus_pct,career_stagnation_index,promotion_velocity,role_stagnation_ratio,manager_stability_ratio,training_intensity
41,Yes,Travel_Rarely,Sales,1,2,2,3,2,Sales Executive,4,Single,5993,8,11,1,0,0,1,6,0,0.06447355247789092,0.2916666666666667,0.8333333333333334,2.4569788607810668,0.6666666666666666,6.0,0.5714285714285714,0.7142857142857143,0.0
49,No,Travel_Frequently,Research & Development,8,1,3,2,2,Research Scientist,2,Married,5130,1,23,4,1,3,3,10,1,0.121766081871345,0.3333333333333333,0.08333333333333333,6.714264749515736,5.0,5.0,0.6363636363636364,0.6363636363636364,0.2727272727272727
37,Yes,Travel_Rarely,Research & Development,2,2,4,2,1,Laboratory Technician,3,Single,2090,6,15,2,0,3,3,0,0,0.13945933014354056,0.25,0.6666666666666666,1.3589561485459816,0.0,0.0,0.0,0.0,3.0
33,No,Travel_Frequently,Research & Development,3,4,4,3,1,Research Scientist,3,Married,2909,1,11,3,0,3,3,8,3,0.17949467170849093,0.25,0.625,1.7810826896740066,4.0,2.0,0.7777777777777778,0.0,0.3333333333333333
27,No,Travel_Rarely,Research & Development,2,1,1,3,1,Laboratory Technician,2,Married,3468,9,12,4,1,3,3,2,2,0.08112745098039213,0.2916666666666667,0.125,1.6022361524832651,0.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
32,No,Travel_Frequently,Research & Development,2,2,4,3,1,Laboratory Technician,4,Single,3068,0,13,3,0,2,2,7,3,0.05921121251629721,0.125,0.125,0.6866431505061599,7.0,1.75,0.875,0.75,0.25
59,No,Travel_Rarely,Research & Development,3,3,3,4,1,Laboratory Technician,1,Married,2670,4,20,1,3,3,2,1,0,0.05191760299625464,0.3333333333333333,0.75,3.722194226809576,0.2,1.0,0.0,0.0,1.5
30,No,Travel_Rarely,Research & Development,24,1,4,3,1,Laboratory Technician,3,Divorced,2693,1,22,2,1,2,3,1,0,0.11536947642034907,0.3333333333333333,0.041666666666666664,6.806074500766917,0.5,1.0,0.0,0.0,1.0
38,No,Travel_Frequently,Research & Development,23,3,4,2,3,Manufacturing Director,3,Single,9526,0,21,2,0,2,3,9,1,0.0512114213730842,0.3333333333333333,0.08333333333333333,5.842136595809298,9.0,4.5,0.7,0.8,0.2
36,No,Travel_Rarely,Research & Development,27,3,3,3,2,Healthcare Representative,3,Married,5237,6,13,2,2,3,2,7,7,0.12862707657055564,0.2916666666666667,0.16666666666666666,2.413743515859238,1.0,0.875,0.875,0.875,0.375
